Game,My Rating,Number of Plays,BGG Average Rating,BGG Average Weight,BGG Rank,Year Published
1862: Railway Mania in the Eastern Counties,9,2,8.24307,4.625,1261,2019
18Lilliput,8,2,7.08589,3.3077,2920,2018
1st & Goal,7,2,6.54339,1.807,3108,2011
3 Ring Circus,8,1,7.34295,2.65,1916,2023
51st State: Ultimate Edition,8,1,8.22268,2.7273,387,2023
Adrenaline,7.5,1,6.99429,2.3931,990,2020
The Adventures of Robin Hood,7,6,7.50742,1.8456,747,2021
Aeon's End,8,2,7.90649,2.8091,81,2017
Age of Civilization,8,3,7.0505,2.2771,1635,2019
Agricola (Revised Edition),9,3,7.96025,3.4561,75,2016
Amsterdam,9,2,7.82622,3.4474,2089,2022
Ark Nova,8,5,8.5374,3.7527,4,2022
Arkham Horror,8,1,7.23928,3.5826,422,2008
Arkham Horror: Final Hour,8,2,6.48553,2.2955,3955,2019
Arkham Horror: The Card Game,8,7,8.13108,3.5343,26,2016
Backgammon,6,5,6.56464,2.0122,1501,1630
Baseball Highlights: 2045 – Super Deluxe Edition,8,4,7.84558,2.125,607,2015
BattleLore: Second Edition,8,2,7.68028,2.7092,376,2013
Blank,6,5,6.18321,1.2,8774,2017
Brass: Birmingham,9,1,8.59898,3.8841,1,2018
Café & Expresso,8,3,7.2638,2.033,1200,2022
Can't Stop,6,8,6.90713,1.1489,775,1980
Carnegie,10,4,8.03424,3.8293,107,2022
Cascadia,8,2,7.96045,1.839,45,2021
The Castles of Burgundy: Special Edition,10,2,9.1554,2.8699,16,2023
The Castles of Burgundy: The Card Game,7.5,7,6.95342,2.5714,1019,2016
Challengers!,0,6,7.12733,1.7806,1022,2022
The Champion of the Wild,6,5,6.87223,1.1667,5175,2018
City Planner,6,1,5.64196,2,21793,2023
Clans of Caledonia,9,3,7.94599,3.4542,65,2017
Cockroach Poker,9,11,6.79377,1.1044,1029,2004
Codenames,6,2,7.54429,1.2605,133,2015
Codenames: Duet,6,10,7.44092,1.3641,245,2017
Codenames: Pictures,6,4,7.19197,1.2407,435,2016
Commands & Colors: Samurai Battles,8,1,8.07624,2.7857,3285,2021
Concept,7,3,6.76154,1.3736,1007,2013
Concordia,9,3,8.09564,2.9931,23,2019
Cosmic Encounter,8,4,7.52362,2.5844,190,2008
The Crew: The Quest for Planet Nine,7,6,7.81246,1.9541,70,2020
Crisis,8,1,7.49657,3.0667,1252,2018
Crown of Emara,8,2,7.39202,3.0529,837,2018
Dawn of the Zeds (Third Edition),9,1,8.16002,3.8089,507,2019
Deep Sea Adventure,8,3,6.90649,1.178,828,2014
Dinosaur Island: Rawr 'n Write,8,3,7.72954,2.8068,630,2021
Distilled,9,1,7.89684,2.9747,437,2023
Dominion (Second Edition),8,2,7.84157,2.1553,176,2016
Dune: Imperium,9,3,8.43383,3.0467,6,2020
Epic Card Game,7,4,6.41324,2.5109,2526,2015
Fantasy Realms,7,6,7.52077,1.8086,253,2022
A Feast for Odin,9,12,8.17326,3.8641,24,2016
Flashpoint: South China Sea,8,1,7.50624,2.3636,4438,2022
Football Highlights 2052,8,2,7.01068,2.3333,5115,2019
For Sale,6,3,7.253,1.2517,335,2015
Friday,7.5,3,7.11651,2.1562,531,2011
Fugitive (Second Edition),8,18,7.60405,2,5172,2023
Funemployed,7,3,6.66368,1.1702,2645,2013
Gaia Project,9.5,7,8.38414,4.3924,12,2020
Ginkgopolis,8,3,7.50319,2.9045,386,2021
Glass Road,8.5,3,7.44815,2.9485,323,2021
Gloom of Kilforth: A Fantasy Quest Game,9,2,7.52098,3.1122,1447,2017
Gloomhaven,9,19,8.59463,3.9081,3,2017
Great Western Trail: Second Edition,8,5,8.34999,3.7218,29,2021
Le Havre,8.5,1,7.85098,3.7201,66,2018
Heat: Pedal to the Metal,9,4,8.08556,2.1957,42,2022
Hive Pocket,6,17,7.69945,2.2521,297,2010
Imperial Settlers,8,5,7.32065,2.7684,324,2014
Imperium: Classics,8,2,7.70595,3.5765,352,2021
It's a Wonderful World,8,4,7.67827,2.3229,152,2021
Junk Art,8,5,7.37171,1.2121,521,2019
Just One,8,8,7.60168,1.0393,143,2018
KeyForge: Call of the Archons,8,9,7.11175,2.4867,708,2018
KeyForge: Winds of Exchange,7,2,8.41179,2.625,6697,2023
Kingsbridge: The Game,7,4,5.46897,1.4,22666,2022
Liberation,6,2,6.88243,2.3333,3623,2019
Libertalia: Winds of Galecrest,7.5,3,7.47958,2.1268,543,2022
Long Shot: The Dice Game,7,3,7.6568,1.9205,312,2022
Lord of the Rings,7.5,1,6.73812,2.5427,1098,2012
The Lord of the Rings: The Card Game – Revised Core Set,10,19,8.48025,3.5248,539,2022
Love Letter,7,9,7.22569,1.185,336,2012
Luchador! Mexican Wrestling Dice,6,10,6.43656,1.2368,4074,2013
Mage Knight: Ultimate Edition,10,3,8.87375,4.6622,33,2018
Magic: The Gathering,6,2,7.57437,3.2585,163,1993
The Manhattan Project: Energy Empire,7,4,7.74806,3.0357,306,2016
Maquis,7.5,6,7.45845,2.1898,818,2021
Marvel Champions: The Card Game,8,9,8.12501,2.9231,40,2019
Marvel United,7,2,7.58717,1.8142,295,2020
MicroMacro: Crime City,8,19,7.51017,1.1108,252,2020
MicroMacro: Crime City – Full House,8,12,7.68829,1.2027,541,2021
The Mind,7,9,6.76459,1.0739,947,2018
The Ming Voyages,7,2,6.98939,2.5,5198,2020
Mists over Carcassonne,7,5,7.34259,2.1,1656,2023
Monopoly Bid,0,2,5.74502,1.0909,18619,2020
Monster Expedition,6,2,6.85622,2.0185,3179,2020
Moon,8,1,7.46809,2.5556,2941,2023
Munchkin,6,1,5.87141,1.8093,5788,2001
Nations,9,2,7.60546,3.5452,230,2014
Nemesis,7.5,5,8.27461,3.4608,21,2018
New York City,9,2,7.35726,2.6875,5151,2022
No Thanks!,8,19,7.07738,1.1325,504,2015
The Number,6,3,6.05946,1.1538,6927,2023
Nusfjord,9,1,7.64074,2.8462,362,2017
Obsession,8,3,8.15773,3.1051,62,2020
Onirim (Second Edition),8,12,7.04691,1.5921,760,2022
Orchard: A 9 card solitaire game,7,5,7.35367,1.172,985,2020
Pandemic Legacy: Season 1,8,2,8.52996,2.8306,2,2015
Pandemic: Hot Zone – North America,7,5,7.00346,1.8333,1889,2020
Perudo,6,3,6.91476,1.2549,823,1800
Pictomania,8,4,7.58614,1.4375,1068,2018
Qwirkle,8,3,6.77432,1.5923,987,2019
Ra,8,1,7.61715,2.3284,136,2023
Race for the Galaxy,9.5,23,7.74459,2.9909,76,2021
Railways,8,3,5.90873,2.3333,19605,2022
Rebuilding Seattle,9,1,7.70048,2.2667,4068,2023
The Red Burnoose: Algeria 1857,8,1,6.69737,3,16626,2022
The Red Cathedral,9,3,7.72284,2.8135,191,2020
Regicide,8,17,7.45936,1.9153,622,2020
The Resistance: Avalon,8,3,7.51734,1.7368,198,2012
Revive,9,1,8.18172,3.4067,115,2022
Rhino Hero,5,15,6.91116,1.0222,921,2011
Rifles in the Ardennes,7,3,7.01853,1.9,10978,2017
Robinson Crusoe: Adventures on the Cursed Island,8,2,7.74788,3.8141,90,2012
Rolling Realms,8,6,7.15277,1.9318,1086,2021
Root,8,1,8.07545,3.7989,30,2020
SCOUT,0,10,7.81032,1.3457,117,2019
Scythe,8,4,8.14861,3.4449,17,2016
Sentinels of the Multiverse: Definitive Edition,8,1,8.34397,2.8,1504,2022
Skull,9,17,7.19347,1.1173,432,2011
Sky Team,0,1,8.19099,2.0407,202,2023
Soldiers in Postmen's Uniforms,8,1,7.8393,2.625,5693,2021
Spirit Island,8,8,8.3463,4.0639,11,2017
Sprawlopolis,7,5,7.32841,1.8314,451,2018
Spyfall,6,2,6.77796,1.2382,944,2014
Star Wars: Outer Rim,8,2,7.73307,2.5446,201,2019
Strike,6.5,109,6.95394,1.0296,1338,2012
Suburbia,9,2,7.47816,2.7672,212,2021
Sushi Go Party!,7,10,7.39887,1.3027,256,2016
Tapestry,7.5,4,7.45045,2.9329,274,2019
Terraforming Mars,8,4,8.36281,3.2602,7,2016
Terraforming Mars: Ares Expedition,8,4,7.68279,2.9191,161,2021
That's Pretty Clever!,8,30,7.57547,1.8727,172,2018
Time's Up! Title Recall!,7,1,7.68084,1.1848,592,2017
Tinners' Trail,9.5,4,7.13733,2.84,1933,2021
Tiny Acrobats,6.5,8,6.57306,1,9547,2021
Tiny Epic Galaxies,7.5,2,7.33669,2.1481,350,2015
Tramways,9,5,7.37831,3.7922,1616,2016
Trick Shot,8,3,7.92245,2.3889,3650,2021
Turing Machine,0,10,7.73065,2.4265,347,2022
Tussie Mussie,7,5,6.94083,1.144,1286,2019
Twilight Struggle: Red Sea – Conflict in the Horn of Africa,8,1,7.71521,2.9737,2654,2022
Ultimate Railroads,8,1,8.4365,3.2673,115,2022
Veilwraith: A Veil Odyssey Game,8,1,7.6324,2.2,4939,2021
Village Green,7,6,6.94372,1.9074,2024,2020
Villagers,8,8,7.15435,2.1938,784,2019
Viticulture Essential Edition,9,13,7.99298,2.8903,38,2015
Warfighter: The Tactical Special Forces Card Game,8,2,7.68912,2.7087,1757,2021
The Wars of Marcus Aurelius,8,2,7.54665,2.3684,5498,2018
Welcome To...,8,16,7.54004,1.8354,174,2018
Whitehall Mystery,9,23,7.54886,2.122,662,2017
"Wits & Wagers: It's Vegas, Baby!",8,3,7.43971,1.0833,2527,2019
Zuuli,8,5,6.84849,1.6667,5804,2022
